"LoanNr_ChkDgt","MIS_Status","GrAppv","Term","NoEmp","DisbursementGross","ChgOffPrinGr","Loan_Status"
8660223008,"P I F                                                                                               ",500000.00,300,10,383880.00,0.00,"Declined"
8660233000,"P I F                                                                                               ",70000.00,60,1,70000.00,0.00,"Approved"
8660234007,"P I F                                                                                               ",20000.00,84,2,20000.00,0.00,"Declined"
8660243003,"CHGOFF                                                                                              ",180000.00,155,6,180000.00,54711.00,"Declined"
8660253006,"P I F                                                                                               ",100000.00,120,4,100000.00,0.00,"Declined"
8660263009,"P I F                                                                                               ",30000.00,60,6,30000.00,0.00,"Declined"
8660273001,"P I F                                                                                               ",375000.00,120,10,375000.00,0.00,"Approved"
8660274008,"P I F                                                                                               ",25000.00,84,6,27489.00,0.00,"Declined"
8660281001,"CHGOFF                                                                                              ",150000.00,84,17,150000.00,176873.00,"Declined"
8660283004,"P I F                                                                                               ",74500.00,84,6,74500.00,0.00,"Approved"
8660293007,"P I F                                                                                               ",100000.00,84,20,100000.00,0.00,"Approved"
8660303008,"P I F                                                                                               ",394000.00,305,16,394000.00,0.00,"Declined"
8660304004,"P I F                                                                                               ",130000.00,84,1,130000.00,0.00,"Approved"
8660313000,"P I F                                                                                               ",112000.00,120,3,112000.00,0.00,"Declined"
8660333006,"P I F                                                                                               ",100000.00,36,30,100000.00,0.00,"Approved"
8660334002,"P I F                                                                                               ",15000.00,84,1,15000.00,0.00,"Declined"
8660353001,"P I F                                                                                               ",25000.00,60,1,25000.00,0.00,"Declined"
8660363004,"P I F                                                                                               ",26000.00,84,2,26000.00,0.00,"Declined"
8660373007,"P I F                                                                                               ",120500.00,180,4,120500.00,0.00,"Declined"
8660403003,"P I F                                                                                               ",255000.00,240,35,255000.00,0.00,"Declined"
8660433001,"P I F                                                                                               ",206000.00,120,34,206000.00,0.00,"Declined"
8660463010,"P I F                                                                                               ",9500.00,60,1,9500.00,0.00,"Declined"
8660483005,"P I F                                                                                               ",206000.00,120,30,206000.00,0.00,"Declined"
8660503009,"P I F                                                                                               ",30000.00,84,3,30000.00,0.00,"Declined"
8660543010,"P I F                                                                                               ",210000.00,300,7,210000.00,0.00,"Declined"
8660563005,"P I F                                                                                               ",70000.00,60,3,70000.00,0.00,"Approved"
8660564001,"P I F                                                                                               ",308000.00,240,1,308000.00,0.00,"Declined"
8660573008,"P I F                                                                                               ",25000.00,84,10,25000.00,0.00,"Declined"
8660574004,"P I F                                                                                               ",253000.00,240,5,253000.00,0.00,"Declined"
8660603004,"P I F                                                                                               ",30000.00,84,1,30000.00,0.00,"Declined"
8660613007,"P I F                                                                                               ",140327.00,84,4,140327.00,0.00,"Approved"
8660623010,"P I F                                                                                               ",25000.00,48,2,25000.00,0.00,"Declined"
8660633002,"P I F                                                                                               ",50000.00,120,6,50000.00,0.00,"Declined"
8660634009,"CHGOFF                                                                                              ",120000.00,232,20,120000.00,34793.00,"Declined"
8660643005,"P I F                                                                                               ",90000.00,84,1,90000.00,0.00,"Approved"
8660653008,"CHGOFF                                                                                              ",65000.00,78,12,65000.00,59192.00,"Declined"
8660683006,"P I F                                                                                               ",100000.00,84,2,100000.00,0.00,"Approved"
8660694005,"P I F                                                                                               ",568000.00,120,26,465000.00,0.00,"Declined"
8660703010,"P I F                                                                                               ",471655.00,180,3,471655.00,0.00,"Declined"
8660713002,"P I F                                                                                               ",66900.00,84,19,66900.00,0.00,"Approved"
8660733008,"P I F                                                                                               ",185000.00,252,2,185000.00,0.00,"Declined"
8660743000,"P I F                                                                                               ",50000.00,84,15,50000.00,0.00,"Approved"
8660763006,"P I F                                                                                               ",94000.00,180,2,94000.00,0.00,"Declined"
8660764002,"CHGOFF                                                                                              ",250000.00,11,2,275700.00,201000.00,"Declined"
8660793004,"P I F                                                                                               ",170000.00,60,10,170000.00,0.00,"Approved"
8660814004,"CHGOFF                                                                                              ",1109000.00,97,24,1109000.00,986363.00,"Declined"
8660834010,"P I F                                                                                               ",10000.00,84,6,10000.00,0.00,"Declined"
8660843006,"P I F                                                                                               ",43500.00,60,11,43500.00,0.00,"Declined"
8660854005,"P I F                                                                                               ",150000.00,60,3,150000.00,0.00,"Approved"
8660863001,"P I F                                                                                               ",90000.00,120,9,90000.00,0.00,"Declined"
8660864008,"P I F                                                                                               ",254400.00,120,2,254400.00,0.00,"Approved"
8660873004,"P I F                                                                                               ",35000.00,48,1,35000.00,0.00,"Declined"
8660884003,"P I F                                                                                               ",255000.00,120,1,255000.00,0.00,"Approved"
8660894006,"P I F                                                                                               ",25000.00,84,4,25000.00,0.00,"Declined"
8660904007,"P I F                                                                                               ",100000.00,120,12,93762.00,0.00,"Declined"
8660913003,"P I F                                                                                               ",30500.00,84,2,30500.00,0.00,"Declined"
8660933009,"P I F                                                                                               ",95500.00,84,1,91250.00,0.00,"Approved"
8660934005,"CHGOFF                                                                                              ",121000.00,80,2,121000.00,106284.00,"Declined"
8660963007,"P I F                                                                                               ",80000.00,180,2,80000.00,0.00,"Declined"
8660984009,"P I F                                                                                               ",59125.00,90,2,59125.00,0.00,"Declined"
8660993005,"P I F                                                                                               ",30000.00,63,1,30000.00,0.00,"Declined"
8661014002,"P I F                                                                                               ",140000.00,120,5,140000.00,0.00,"Declined"
8661023009,"P I F                                                                                               ",400000.00,84,18,400000.00,0.00,"Approved"
8661024005,"P I F                                                                                               ",95000.00,84,7,95000.00,0.00,"Approved"
8661033001,"P I F                                                                                               ",142000.00,180,1,142000.00,0.00,"Declined"
8661043004,"P I F                                                                                               ",63000.00,240,1,63000.00,0.00,"Declined"
8661063010,"P I F                                                                                               ",65000.00,180,4,35000.00,0.00,"Declined"
8661083005,"P I F                                                                                               ",87500.00,180,8,86626.00,0.00,"Declined"
8661104005,"P I F                                                                                               ",212000.00,300,3,212000.00,0.00,"Declined"
8661133007,"P I F                                                                                               ",31000.00,84,2,31000.00,0.00,"Declined"
8661134003,"CHGOFF                                                                                              ",507570.00,100,20,507570.00,269037.00,"Declined"
8661144006,"CHGOFF                                                                                              ",25000.00,22,1,25000.00,10843.00,"Declined"
8661153002,"P I F                                                                                               ",384200.00,12,74,384200.00,0.00,"Approved"
8661154009,"P I F                                                                                               ",245000.00,180,2,245000.00,0.00,"Declined"
8661173008,"CHGOFF                                                                                              ",36000.00,78,8,36000.00,13325.00,"Declined"
8661174004,"P I F                                                                                               ",30000.00,84,2,43403.00,0.00,"Declined"
8661194010,"CHGOFF                                                                                              ",120000.00,34,1,120000.00,56980.00,"Declined"
8661203004,"P I F                                                                                               ",70000.00,60,1,70000.00,0.00,"Approved"
8661214003,"CHGOFF                                                                                              ",471900.00,93,2,260000.00,186843.00,"Declined"
8661223010,"P I F                                                                                               ",45000.00,240,38,45000.00,0.00,"Declined"
8661224006,"P I F                                                                                               ",745000.00,96,28,745000.00,0.00,"Declined"
8661234009,"CHGOFF                                                                                              ",25000.00,15,1,26151.00,24264.00,"Declined"
8661244001,"P I F                                                                                               ",5000.00,84,1,5000.00,0.00,"Declined"
8661263000,"P I F                                                                                               ",37800.00,84,2,37800.00,0.00,"Declined"
8661273003,"P I F                                                                                               ",100000.00,85,5,100000.00,0.00,"Declined"
8661274010,"P I F                                                                                               ",232100.00,120,4,221000.00,0.00,"Declined"
8661284002,"P I F                                                                                               ",25000.00,84,3,25000.00,0.00,"Declined"
8661293009,"P I F                                                                                               ",500000.00,300,42,500000.00,0.00,"Declined"
8661294005,"P I F                                                                                               ",275000.00,84,5,275000.00,0.00,"Approved"
8661304006,"P I F                                                                                               ",288000.00,126,11,288000.00,0.00,"Declined"
8661314009,"P I F                                                                                               ",35000.00,60,2,35000.00,0.00,"Declined"
8661324001,"P I F                                                                                               ",75000.00,84,2,74418.00,0.00,"Approved"
8661334004,"CHGOFF                                                                                              ",100000.00,35,9,101673.00,64940.00,"Declined"
8661343000,"P I F                                                                                               ",188000.00,24,10,176000.00,0.00,"Approved"
8661344007,"P I F                                                                                               ",400000.00,90,14,400000.00,0.00,"Approved"
8661353003,"P I F                                                                                               ",306000.00,240,7,306000.00,0.00,"Declined"
8661363006,"P I F                                                                                               ",40000.00,84,12,40000.00,0.00,"Declined"
8661373009,"P I F                                                                                               ",100000.00,102,3,100000.00,0.00,"Declined"
8661383001,"CHGOFF                                                                                              ",65000.00,1,25,65000.00,4807.00,"Approved"
8661393004,"P I F                                                                                               ",169000.00,240,15,169000.00,0.00,"Declined"
8661403005,"P I F                                                                                               ",75000.00,84,10,75000.00,0.00,"Approved"
8661413008,"P I F                                                                                               ",37392.00,84,2,29842.00,0.00,"Declined"
8661414004,"P I F                                                                                               ",75000.00,84,4,75000.00,0.00,"Approved"
8661423000,"P I F                                                                                               ",10040.00,36,2,10040.00,0.00,"Declined"
8661433003,"P I F                                                                                               ",65000.00,60,11,63487.00,0.00,"Approved"
8661434010,"P I F                                                                                               ",65000.00,84,4,76722.00,0.00,"Approved"
8661443006,"P I F                                                                                               ",462700.00,181,1,462700.00,0.00,"Declined"
8661444002,"P I F                                                                                               ",150000.00,72,15,150000.00,0.00,"Approved"
8661453009,"P I F                                                                                               ",52000.00,240,4,52000.00,0.00,"Declined"
8661454005,"P I F                                                                                               ",102000.00,84,4,102000.00,0.00,"Approved"
8661464008,"P I F                                                                                               ",225000.00,47,15,784348.00,0.00,"Declined"
8661473004,"P I F                                                                                               ",215000.00,84,14,215000.00,0.00,"Approved"
8661474000,"P I F                                                                                               ",10000.00,84,15,38562.00,0.00,"Declined"
8661483007,"P I F                                                                                               ",236000.00,180,4,236000.00,0.00,"Declined"
8661493010,"P I F                                                                                               ",69000.00,54,6,69000.00,0.00,"Approved"
8661504007,"P I F                                                                                               ",15000.00,84,10,15000.00,0.00,"Declined"
8661513003,"P I F                                                                                               ",100000.00,300,1,100000.00,0.00,"Declined"
8661523006,"CHGOFF                                                                                              ",45000.00,14,1,45000.00,20350.00,"Declined"
8661533009,"P I F                                                                                               ",51400.00,84,3,51400.00,0.00,"Approved"
8661534005,"CHGOFF                                                                                              ",195000.00,106,7,195000.00,154394.00,"Declined"
8661543001,"P I F                                                                                               ",370000.00,240,3,370000.00,0.00,"Declined"
8661544008,"P I F                                                                                               ",65000.00,60,48,65000.00,0.00,"Approved"
8661553004,"P I F                                                                                               ",10500.00,36,3,10500.00,0.00,"Declined"
8661554000,"P I F                                                                                               ",440000.00,48,23,440000.00,0.00,"Approved"
8661563007,"P I F                                                                                               ",379000.00,240,20,379000.00,0.00,"Declined"
8661573010,"P I F                                                                                               ",100000.00,84,34,100000.00,0.00,"Approved"
8661574006,"P I F                                                                                               ",82500.00,180,2,71600.00,0.00,"Declined"
8661583002,"P I F                                                                                               ",75000.00,84,4,75000.00,0.00,"Approved"
8661593005,"P I F                                                                                               ",335000.00,300,7,320000.00,0.00,"Declined"
8661603006,"P I F                                                                                               ",245000.00,120,1,245000.00,0.00,"Declined"
8661604002,"P I F                                                                                               ",48000.00,60,3,48000.00,0.00,"Declined"
8661613009,"P I F                                                                                               ",290000.00,240,6,290000.00,0.00,"Declined"
8661614005,"P I F                                                                                               ",75000.00,60,10,75000.00,0.00,"Approved"
8661624008,"P I F                                                                                               ",360000.00,123,1,360000.00,0.00,"Declined"
8661633004,"P I F                                                                                               ",375000.00,180,2,375000.00,0.00,"Declined"
8661634000,"CHGOFF                                                                                              ",90000.00,52,1,90000.00,65612.00,"Declined"
8661643007,"P I F                                                                                               ",20785.00,60,7,20785.00,0.00,"Declined"
8661644003,"P I F                                                                                               ",300000.00,120,15,300000.00,0.00,"Approved"
8661673005,"P I F                                                                                               ",85000.00,84,7,85000.00,0.00,"Approved"
8661693000,"P I F                                                                                               ",50000.00,60,6,50000.00,0.00,"Approved"
8661694007,"P I F                                                                                               ",227200.00,228,3,227200.00,0.00,"Declined"
8661711001,"CHGOFF                                                                                              ",60000.00,192,30,40600.00,13065.00,"Declined"
8661713004,"P I F                                                                                               ",400000.00,84,7,300000.00,0.00,"Approved"
8661723007,"P I F                                                                                               ",150000.00,84,11,150000.00,0.00,"Approved"
8661724003,"P I F                                                                                               ",803000.00,240,50,803000.00,0.00,"Declined"
8661733010,"P I F                                                                                               ",56000.00,84,3,56000.00,0.00,"Approved"
8661734006,"CHGOFF                                                                                              ",840000.00,229,3,840000.00,509185.00,"Declined"
8661743002,"P I F                                                                                               ",87000.00,87,3,87000.00,0.00,"Declined"
8661744009,"P I F                                                                                               ",183000.00,84,1,183000.00,0.00,"Approved"
8661754001,"CHGOFF                                                                                              ",303300.00,65,10,303300.00,255443.00,"Declined"
8661764004,"CHGOFF                                                                                              ",417500.00,96,14,417500.00,304610.00,"Declined"
8661774007,"CHGOFF                                                                                              ",1209700.00,169,1,1209700.00,646455.00,"Declined"
8661804003,"P I F                                                                                               ",150000.00,180,4,150000.00,0.00,"Declined"
8661824009,"P I F                                                                                               ",180000.00,84,15,180000.00,0.00,"Approved"
8661834001,"P I F                                                                                               ",1746600.00,300,7,1746600.00,0.00,"Declined"
8661844004,"P I F                                                                                               ",15000.00,82,20,25000.00,0.00,"Declined"
8661853000,"P I F                                                                                               ",200000.00,300,3,200000.00,0.00,"Declined"
8661854007,"CHGOFF                                                                                              ",5000.00,51,1,5000.00,3909.00,"Declined"
8661883009,"P I F                                                                                               ",271000.00,240,52,271000.00,0.00,"Declined"
8661884005,"P I F                                                                                               ",50000.00,83,20,90000.00,0.00,"Approved"
8661894008,"P I F                                                                                               ",1257000.00,240,16,1234000.00,0.00,"Declined"
8661904009,"P I F                                                                                               ",20000.00,60,1,20000.00,0.00,"Declined"
8661914001,"P I F                                                                                               ",15000.00,84,3,15000.00,0.00,"Declined"
8661924004,"P I F                                                                                               ",628000.00,240,8,628000.00,0.00,"Declined"
8661944010,"P I F                                                                                               ",100000.00,72,4,305909.00,0.00,"Declined"
8661953006,"P I F                                                                                               ",234000.00,60,25,234000.00,0.00,"Approved"
8661954002,"P I F                                                                                               ",110000.00,60,5,110000.00,0.00,"Approved"
8661973001,"P I F                                                                                               ",178100.00,156,3,178100.00,0.00,"Declined"
8661983004,"P I F                                                                                               ",36000.00,240,3,36000.00,0.00,"Declined"
8661993007,"P I F                                                                                               ",340000.00,66,5,340000.00,0.00,"Approved"
8661994003,"CHGOFF                                                                                              ",150000.00,85,1,150000.00,82142.00,"Declined"
8662003005,"P I F                                                                                               ",90000.00,60,3,90000.00,0.00,"Approved"
8662004001,"P I F                                                                                               ",40000.00,84,10,118215.00,0.00,"Declined"
8662013008,"P I F                                                                                               ",259000.00,120,24,259000.00,0.00,"Approved"
8662023000,"P I F                                                                                               ",100000.00,12,3,100000.00,0.00,"Approved"
8662024007,"P I F                                                                                               ",15000.00,84,1,15000.00,0.00,"Declined"
8662033003,"P I F                                                                                               ",20000.00,84,7,20000.00,0.00,"Declined"
8662044002,"P I F                                                                                               ",242000.00,120,4,242000.00,0.00,"Declined"
8662063001,"P I F                                                                                               ",152300.00,240,4,152300.00,0.00,"Declined"
8662064008,"CHGOFF                                                                                              ",30000.00,39,1,50196.00,23047.00,"Declined"
8662073004,"CHGOFF                                                                                              ",380000.00,91,24,308000.00,195620.00,"Declined"
8662074000,"P I F                                                                                               ",170000.00,84,1,170000.00,0.00,"Approved"
8662083007,"P I F                                                                                               ",48000.00,180,5,48000.00,0.00,"Declined"
8662093010,"P I F                                                                                               ",43000.00,72,6,43000.00,0.00,"Declined"
8662094006,"P I F                                                                                               ",15000.00,84,1,15000.00,0.00,"Declined"
8662103000,"P I F                                                                                               ",136000.00,240,20,136000.00,0.00,"Declined"
8662114010,"P I F                                                                                               ",40000.00,48,1,40000.00,0.00,"Declined"
8662123006,"P I F                                                                                               ",177000.00,84,20,176196.00,0.00,"Approved"
8662133009,"P I F                                                                                               ",427500.00,300,6,427500.00,0.00,"Declined"
8662154000,"P I F                                                                                               ",15000.00,82,3,23117.00,0.00,"Declined"
8662163007,"P I F                                                                                               ",200000.00,120,8,200000.00,0.00,"Declined"
8662171007,"CHGOFF                                                                                              ",85000.00,64,12,85000.00,47316.00,"Declined"
8662173010,"P I F                                                                                               ",30000.00,84,1,30000.00,0.00,"Declined"
8662183002,"P I F                                                                                               ",50000.00,84,2,50000.00,0.00,"Approved"
8662193005,"P I F                                                                                               ",98000.00,181,5,98000.00,0.00,"Declined"
8662194001,"P I F                                                                                               ",60000.00,120,4,60000.00,0.00,"Declined"
8662203006,"P I F                                                                                               ",517000.00,240,14,517000.00,0.00,"Declined"
8662213009,"P I F                                                                                               ",250000.00,84,28,250000.00,0.00,"Approved"
8662223001,"P I F                                                                                               ",142000.00,240,1,142000.00,0.00,"Declined"
8662233004,"P I F                                                                                               ",4000.00,36,1,4000.00,0.00,"Declined"
8662234000,"P I F                                                                                               ",51000.00,84,3,51000.00,0.00,"Approved"
8662243007,"P I F                                                                                               ",250000.00,89,7,250000.00,0.00,"Approved"
8662253010,"P I F                                                                                               ",9000.00,60,6,9000.00,0.00,"Declined"
8662254006,"CHGOFF                                                                                              ",50000.00,26,2,50000.00,35974.00,"Declined"
8662263002,"P I F                                                                                               ",160000.00,288,5,160000.00,0.00,"Declined"
8662264009,"P I F                                                                                               ",131400.00,84,100,131400.00,0.00,"Approved"
8662273005,"P I F                                                                                               ",200000.00,120,6,200000.00,0.00,"Declined"
8662283008,"P I F                                                                                               ",173000.00,240,2,173000.00,0.00,"Declined"
8662284004,"P I F                                                                                               ",140000.00,132,1,140000.00,0.00,"Declined"
8662293000,"P I F                                                                                               ",500000.00,300,15,500000.00,0.00,"Declined"
8662294007,"P I F                                                                                               ",25000.00,60,3,61316.00,0.00,"Declined"
8662303001,"P I F                                                                                               ",40000.00,66,1,40000.00,0.00,"Declined"
8662304008,"CHGOFF                                                                                              ",20000.00,47,1,36880.00,16902.00,"Declined"
8662314000,"P I F                                                                                               ",335000.00,84,35,335000.00,0.00,"Approved"
8662323007,"P I F                                                                                               ",25000.00,120,2,25000.00,0.00,"Declined"
8662333010,"P I F                                                                                               ",419000.00,120,3,419000.00,0.00,"Approved"
8662334006,"CHGOFF                                                                                              ",5000.00,70,3,5000.00,4641.00,"Declined"
8662343002,"CHGOFF                                                                                              ",100000.00,64,23,100000.00,92869.00,"Declined"
8662344009,"CHGOFF                                                                                              ",5000.00,51,1,5000.00,3958.00,"Declined"
8662353005,"P I F                                                                                               ",764000.00,240,11,764000.00,0.00,"Declined"
8662363008,"P I F                                                                                               ",50000.00,180,3,25000.00,0.00,"Declined"
8662364004,"P I F                                                                                               ",53200.00,84,2,53200.00,0.00,"Approved"
8662374007,"CHGOFF                                                                                              ",102000.00,28,14,102000.00,56515.00,"Declined"
8662383003,"P I F                                                                                               ",100000.00,102,4,100000.00,0.00,"Declined"
8662403007,"P I F                                                                                               ",145100.00,181,2,145100.00,0.00,"Declined"
8662404003,"P I F                                                                                               ",709000.00,240,160,683000.00,0.00,"Declined"
8662413010,"P I F                                                                                               ",215000.00,60,8,215000.00,0.00,"Approved"
8662433005,"P I F                                                                                               ",45000.00,84,3,39658.00,0.00,"Declined"
8662434001,"P I F                                                                                               ",466000.00,120,10,466000.00,0.00,"Approved"
8662443008,"P I F                                                                                               ",225000.00,171,13,225000.00,0.00,"Declined"
8662453000,"P I F                                                                                               ",30000.00,84,2,30000.00,0.00,"Declined"
8662454007,"CHGOFF                                                                                              ",100000.00,10,2,100000.00,18811.00,"Declined"
8662463003,"P I F                                                                                               ",100000.00,120,20,100000.00,0.00,"Declined"
8662474002,"P I F                                                                                               ",1429000.00,240,10,1429000.00,0.00,"Declined"
8662493001,"P I F                                                                                               ",50000.00,120,7,50000.00,0.00,"Declined"
8662494008,"P I F                                                                                               ",150000.00,60,8,150000.00,0.00,"Approved"
8662503002,"P I F                                                                                               ",420000.00,4,15,420000.00,0.00,"Approved"
8662543003,"P I F                                                                                               ",250000.00,240,1,250000.00,0.00,"Declined"
8662563009,"P I F                                                                                               ",50000.00,84,1,50000.00,0.00,"Approved"
8662573001,"P I F                                                                                               ",70000.00,84,1,70000.00,0.00,"Approved"
8662583004,"P I F                                                                                               ",45482.00,60,12,45482.00,0.00,"Declined"
8662593007,"P I F                                                                                               ",20000.00,60,2,20000.00,0.00,"Declined"
8662594003,"CHGOFF                                                                                              ",60000.00,53,1,60000.00,60000.00,"Declined"
8662603008,"P I F                                                                                               ",73500.00,84,5,73500.00,0.00,"Approved"
8662613000,"P I F                                                                                               ",50000.00,84,6,50000.00,0.00,"Approved"
8662614007,"P I F                                                                                               ",200000.00,33,25,350000.00,0.00,"Declined"
8662623003,"P I F                                                                                               ",67000.00,84,6,67000.00,0.00,"Approved"
8662633006,"P I F                                                                                               ",110000.00,120,7,110000.00,0.00,"Declined"
8662653001,"P I F                                                                                               ",65000.00,84,8,65000.00,0.00,"Approved"
8662654008,"CHGOFF                                                                                              ",35000.00,42,6,35000.00,33775.00,"Declined"
8662663004,"P I F                                                                                               ",75000.00,84,2,75000.00,0.00,"Approved"
8662673007,"P I F                                                                                               ",431375.00,300,32,431375.00,0.00,"Declined"
8662683010,"P I F                                                                                               ",195000.00,120,29,195000.00,0.00,"Declined"
8662684006,"P I F                                                                                               ",258000.00,84,3,258000.00,0.00,"Approved"
8662693002,"P I F                                                                                               ",80000.00,84,1,80000.00,0.00,"Approved"
8662703003,"P I F                                                                                               ",92000.00,120,3,92000.00,0.00,"Declined"
8662723009,"P I F                                                                                               ",75000.00,74,1,41423.00,0.00,"Approved"
8662733001,"P I F                                                                                               ",61500.00,84,2,61500.00,0.00,"Approved"
8662763010,"P I F                                                                                               ",100000.00,84,4,100000.00,0.00,"Approved"
8662764006,"P I F                                                                                               ",230000.00,90,7,230000.00,0.00,"Declined"
8662773002,"P I F                                                                                               ",50000.00,84,16,50000.00,0.00,"Approved"
8662783005,"P I F                                                                                               ",65000.00,84,1,65000.00,0.00,"Approved"
8662803009,"P I F                                                                                               ",50100.00,300,4,29896.00,0.00,"Declined"
8662804005,"P I F                                                                                               ",148000.00,84,5,138117.00,0.00,"Approved"
8662814008,"P I F                                                                                               ",10000.00,84,1,10000.00,0.00,"Declined"
8662823004,"P I F                                                                                               ",75000.00,84,11,75000.00,0.00,"Approved"
8662833007,"P I F                                                                                               ",30000.00,84,6,30000.00,0.00,"Declined"
8662834003,"P I F                                                                                               ",10000.00,24,2,10000.00,0.00,"Declined"
8662843010,"P I F                                                                                               ",25000.00,84,9,25000.00,0.00,"Declined"
8662844006,"P I F                                                                                               ",60000.00,64,1,60000.00,0.00,"Approved"
8662853002,"P I F                                                                                               ",90000.00,120,2,90000.00,0.00,"Declined"
8662854009,"P I F                                                                                               ",25000.00,84,1,25000.00,0.00,"Declined"
8662864001,"P I F                                                                                               ",355000.00,300,1,290000.00,0.00,"Declined"
8662873008,"P I F                                                                                               ",82700.00,84,10,82700.00,0.00,"Approved"
8662883000,"P I F                                                                                               ",40000.00,82,1,40000.00,0.00,"Declined"
8662884007,"P I F                                                                                               ",24000.00,84,2,119686.00,0.00,"Declined"
8662894010,"P I F                                                                                               ",5000.00,84,1,5000.00,0.00,"Declined"
8662903004,"P I F                                                                                               ",25000.00,36,3,25000.00,0.00,"Declined"
8662914003,"P I F                                                                                               ",5000.00,84,1,5000.00,0.00,"Declined"
8662923010,"P I F                                                                                               ",64889.00,198,15,64889.00,0.00,"Declined"
8662933002,"P I F                                                                                               ",67500.00,119,1,67500.00,0.00,"Declined"
8662934009,"P I F                                                                                               ",10000.00,84,3,10000.00,0.00,"Declined"
8662943005,"P I F                                                                                               ",100000.00,84,4,100000.00,0.00,"Approved"
8662953008,"CHGOFF                                                                                              ",60000.00,31,4,60000.00,11649.00,"Declined"
8662954004,"P I F                                                                                               ",35000.00,84,3,79157.00,0.00,"Declined"
8662963000,"P I F                                                                                               ",1000000.00,240,170,1000000.00,0.00,"Declined"
8662973003,"P I F                                                                                               ",52000.00,240,2,52000.00,0.00,"Declined"
8662984002,"P I F                                                                                               ",5000.00,84,2,5000.00,0.00,"Declined"
8663004003,"P I F                                                                                               ",75000.00,84,10,125000.00,0.00,"Approved"
8663013010,"P I F                                                                                               ",75000.00,84,1,75000.00,0.00,"Approved"
8663014006,"P I F                                                                                               ",35000.00,84,8,99006.00,0.00,"Declined"
8663033005,"P I F                                                                                               ",49000.00,199,12,49000.00,0.00,"Declined"
8663044004,"P I F                                                                                               ",210700.00,6,4,210700.00,0.00,"Approved"
8663053000,"P I F                                                                                               ",800000.00,12,40,800000.00,0.00,"Declined"
8663063003,"P I F                                                                                               ",180000.00,240,6,169000.00,0.00,"Declined"
8663064010,"P I F                                                                                               ",70000.00,84,1,50568.00,0.00,"Approved"
8663083009,"P I F                                                                                               ",72500.00,120,2,72500.00,0.00,"Declined"
8663084005,"P I F                                                                                               ",15000.00,84,2,32859.00,0.00,"Declined"
8663093001,"P I F                                                                                               ",62000.00,120,7,62000.00,0.00,"Declined"
8663104009,"P I F                                                                                               ",20000.00,82,1,22779.00,0.00,"Declined"
8663133000,"P I F                                                                                               ",112500.00,180,5,112500.00,0.00,"Declined"
8663143003,"P I F                                                                                               ",543000.00,240,1,543000.00,0.00,"Declined"
8663154002,"P I F                                                                                               ",117000.00,120,3,117000.00,0.00,"Declined"
8663163009,"P I F                                                                                               ",100000.00,84,20,100000.00,0.00,"Approved"
8663183004,"P I F                                                                                               ",750000.00,240,26,750000.00,0.00,"Declined"
8663193007,"P I F                                                                                               ",90000.00,48,30,90000.00,0.00,"Approved"
8663194003,"P I F                                                                                               ",20000.00,36,1,20000.00,0.00,"Declined"
8663203008,"P I F                                                                                               ",251000.00,120,25,251000.00,0.00,"Approved"
8663204004,"P I F                                                                                               ",10000.00,84,3,10000.00,0.00,"Declined"
8663213000,"P I F                                                                                               ",53300.00,144,3,50032.00,0.00,"Declined"
8663214007,"P I F                                                                                               ",25000.00,83,4,51874.00,0.00,"Declined"
8663244005,"CHGOFF                                                                                              ",75000.00,24,2,138984.00,52278.00,"Declined"
8663253001,"P I F                                                                                               ",80000.00,84,7,80000.00,0.00,"Approved"
8663254008,"P I F                                                                                               ",15000.00,60,1,27623.00,0.00,"Declined"
8663263004,"P I F                                                                                               ",72000.00,72,5,72000.00,0.00,"Approved"
8663264000,"P I F                                                                                               ",10000.00,84,1,10000.00,0.00,"Declined"
8663273007,"P I F                                                                                               ",496000.00,240,73,496000.00,0.00,"Declined"
8663274003,"P I F                                                                                               ",603000.00,300,5,603000.00,0.00,"Declined"
8663283010,"P I F                                                                                               ",40000.00,72,1,40000.00,0.00,"Declined"
8663284006,"CHGOFF                                                                                              ",30000.00,10,5,77025.00,17970.00,"Declined"
8663293002,"P I F                                                                                               ",80000.00,120,6,80000.00,0.00,"Declined"
8663294009,"P I F                                                                                               ",323000.00,120,2,323000.00,0.00,"Approved"
8663303003,"P I F                                                                                               ",215600.00,120,2,215600.00,0.00,"Declined"
8663304010,"CHGOFF                                                                                              ",75000.00,4,3,99934.00,14596.00,"Declined"
8663313006,"P I F                                                                                               ",50000.00,60,1,50000.00,0.00,"Approved"
8663314002,"P I F                                                                                               ",690000.00,120,15,690000.00,0.00,"Declined"
8663323009,"P I F                                                                                               ",100000.00,84,5,100000.00,0.00,"Approved"
8663333001,"P I F                                                                                               ",38000.00,52,4,38000.00,0.00,"Declined"
8663334008,"P I F                                                                                               ",25000.00,60,1,25000.00,0.00,"Declined"
8663343004,"P I F                                                                                               ",500000.00,304,4,500000.00,0.00,"Declined"
8663344000,"P I F                                                                                               ",720000.00,166,11,720000.00,0.00,"Declined"
8663354003,"P I F                                                                                               ",75000.00,84,30,83000.00,0.00,"Approved"
8663363010,"P I F                                                                                               ",15000.00,60,2,15000.00,0.00,"Declined"
8663364006,"P I F                                                                                               ",1241000.00,240,1,1241000.00,0.00,"Declined"
8663374009,"P I F                                                                                               ",10000.00,84,6,10000.00,0.00,"Declined"
